time  qps  nocache  rocksdb  calcspar
0  1  597  589  604
1  614  1751  1871  2025
2  576  1026  1002  1013
3  519  1007  1014  1015
4  506  1013  868  1086
5  559  739  720  698
6  539  652  667  671
7  498  697  651  598
8  503  621  672  615
9  513  604  651  625
10  512  592  622  604
11  502  585  609  538
12  518  704  597  527
13  494  599  576  626
14  508  629  582  547
15  509  652  595  570
16  455  587  576  576
17  499  649  548  533
18  498  599  566  532
19  582  587  594  532
20  544  586  587  510
21  523  589  572  493
22  509  537  547  509
23  511  617  514  512
24  535  605  591  542
25  503  629  547  565
26  535  596  554  613
27  512  583  595  537
28  551  655  577  518
29  552  600  561  507
30  576  631  589  537
31  554  647  602  524
32  561  657  616  549
33  599  684  660  537
34  579  663  553  527
35  609  673  650  576
36  621  703  612  527
37  658  702  666  569
38  655  693  690  550
39  646  739  663  606
40  654  747  641  584
41  677  771  669  639
42  690  789  670  624
43  711  781  713  598
44  726  774  690  573
45  693  845  691  641
46  755  842  827  600
47  757  848  747  628
48  797  893  779  654
49  779  894  795  657
50  805  961  808  723
51  809  929  794  698
52  878  937  879  687
53  874  946  836  668
54  885  995  839  698
55  919  1006  878  680
56  900  985  788  737
57  930  1054  949  765
58  950  1050  927  770
59  967  1052  949  824
60  985  1122  974  774
61  971  1116  976  788
62  1016  1147  962  755
63  1030  1183  991  769
64  1067  1182  1003  788
65  1050  1068  1042  774
66  1084  1000  1040  788
67  1090  1000  1054  782
68  1118  1000  1070  779
69  1126  1000  1055  783
70  1181  993  1118  806
71  1181  1007  1175  837
72  1192  1001  1150  835
73  1199  1000  1164  847
74  1204  1000  1109  914
75  1238  999  1000  891
76  1223  1001  1000  866
77  1295  1000  1000  885
78  1266  1000  1000  924
79  1316  1000  1000  947
80  1314  1000  1000  930
81  1319  1000  1000  976
82  1352  1000  1000  941
83  1355  1000  1000  953
84  1346  1000  1000  945
85  1356  1000  1000  992
86  1372  1000  1000  1017
87  1395  1000  1000  949
88  1436  1000  1000  949
89  1421  1000  1000  1002
90  1437  1000  1000  996
91  1421  1000  1000  1005
92  1436  1000  1000  1052
93  1462  1000  1000  1008
94  1441  1000  1000  1006
95  1392  1000  1000  989
96  1400  1000  1000  1052
97  1325  1000  1000  1029
98  1544  1000  1000  1052
99  1555  1000  1000  969
100  1506  1000  1000  1042
101  1350  1000  990  945
102  1342  1001  1001  1070
103  1398  1000  999  976
104  1360  999  1000  968
105  1378  1001  1001  1098
106  1428  1000  1000  967
107  1388  1000  1000  970
108  1460  990  1000  999
109  1345  1009  1000  974
110  1350  1001  1000  945
111  1593  1000  1000  1088
112  1392  1000  999  951
113  1371  1000  1001  1053
114  1378  1000  1000  998
115  1460  1000  1000  940
116  1378  1000  1000  1073
117  1328  1000  1000  977
118  1412  1000  1000  959
119  1301  1000  1000  992
120  1423  1000  1000  1088
121  1416  1000  1000  993
122  1385  1000  1000  926
123  1413  1000  1000  1055
124  1374  1000  1000  942
125  1359  1000  1000  1028
126  1374  1000  1000  993
127  1342  1000  1000  972
128  1347  1000  1000  983
129  1353  1000  1000  964
130  1297  1000  1000  996
131  1273  1000  1000  873
132  1302  1000  1000  1058
133  1285  1000  1000  995
134  1253  1000  1000  946
135  1244  1000  1000  975
136  1228  1000  1000  970
137  1227  1000  1000  901
138  1209  1000  1001  898
139  1183  1001  1000  907
140  1165  999  999  907
141  1135  1000  1000  907
142  1151  1001  1001  801
143  1135  1000  999  894
144  1091  1000  1000  845
145  1071  1000  1000  806
146  1079  988  1001  863
147  1056  1012  1000  823
148  1049  1000  991  776
149  993  1000  937  780
150  991  1000  944  778
151  979  1000  951  734
152  942  1000  900  770
153  954  1000  779  680
154  935  1000  907  724
155  884  1000  872  693
156  869  1000  863  698
157  869  1000  816  623
158  870  1000  827  612
159  834  1000  772  586
160  803  1000  789  544
161  826  1000  735  533
162  795  1000  731  591
163  763  1000  686  605
164  786  1000  652  543
165  760  1000  748  500
166  733  1000  664  505
167  714  982  674  496
168  721  933  678  491
169  704  933  626  488
170  663  864  642  449
171  666  814  611  454
172  645  930  612  502
173  621  857  582  497
174  622  819  607  418
175  595  837  526  440
176  608  812  588  421
177  571  782  523  380
178  600  737  561  428
179  590  729  528  364
180  561  684  529  367
181  530  727  529  393
182  557  655  501  411
183  542  756  464  351
184  533  679  468  389
185  528  645  445  311
186  513  651  448  359
187  523  660  463  320
188  517  639  498  313
189  496  654  462  284
190  508  602  431  314
191  512  617  443  289
192  493  605  451  291
193  497  562  414  293
194  493  603  465  312
195  495  579  456  274
196  516  609  429  310
197  494  595  408  310
198  488  591  440  292
199  520  617  409  369
200  497  612  443  285
201  526  591  413  306
202  526  611  413  285
203  490  614  449  281
204  537  614  444  299
205  544  637  455  330
206  528  640  427  305
207  551  641  460  310
208  533  645  472  302
209  546  651  448  334
210  568  661  446  307
211  591  643  442  305
212  581  648  478  292
213  624  664  482  381
214  596  692  469  337
215  598  703  519  338
216  637  722  490  350
217  617  695  496  361
218  658  713  532  340
219  638  771  561  336
220  656  756  589  350
221  687  780  546  373
222  708  769  551  383
223  734  794  564  392
224  741  773  553  386
225  747  812  600  394
226  752  856  596  462
227  776  873  618  470
228  800  875  611  449
229  824  935  650  437
230  816  905  672  432
231  851  951  687  446
232  853  968  669  459
233  880  1006  693  533
234  881  1029  711  500
235  905  1018  717  468
236  945  994  728  518
237  936  1042  730  519
238  951  1082  766  551
239  986  1082  777  495
240  1001  1120  784  580
241  1024  1108  822  573
242  1036  1154  825  539
243  1072  1155  861  581
244  1058  1171  886  578
245  1098  1000  855  578
246  1093  1000  891  627
247  1114  1000  887  616
248  1127  1000  943  625
249  1159  1000  953  688
250  1188  1000  968  677
251  1181  1000  991  627
252  1213  1000  967  614
253  1208  1000  1008  699
254  1242  1000  981  728
255  1253  1000  1050  684
256  1235  1000  1031  699
257  1259  990  1029  727
258  1315  1010  1085  755
259  1304  1000  1082  749
260  1313  1000  1081  683
261  1334  1000  1099  693
262  1370  1000  1108  778
263  1371  1000  1170  770
264  1351  1001  1158  740
265  1363  999  1049  766
266  1358  1001  1000  793
267  1430  1000  1000  790
268  1385  999  1000  802
269  1430  1000  1000  783
270  1428  1001  1000  797
271  1443  1000  1000  802
272  1429  1000  1000  851
273  1455  1000  1000  839
274  1471  1000  1000  800
275  1483  1000  1000  801
276  1468  1000  1000  810
277  1463  1000  1000  839
278  1473  1000  1000  846
279  1475  1000  1000  870
280  1496  1000  1000  851
281  1485  1000  1000  853
282  1494  1000  1000  822
283  1494  1000  1000  857
284  1500  1000  1001  770
285  1507  1000  1000  932
286  1501  1000  1000  833
287  1479  1000  1000  916
288  1490  1000  1000  804
289  1503  1000  1000  890
290  1503  1000  1000  877
291  1464  1000  1000  838
292  1469  1000  1000  867
293  1457  1000  1000  826
294  1481  1000  1000  894
295  1471  988  1000  767
296  1457  1012  994  964
297  1443  1000  1006  849
298  1418  1000  1000  853
299  1438  1000  1000  837
300  1446  1000  1000  851
301  1405  1000  1000  843
302  1404  1000  1000  826
303  1427  1001  1000  885
304  1398  1000  1000  801
305  1368  1000  1000  807
306  1370  1000  1000  733
307  1344  1000  1000  869
308  1343  1000  1000  840
309  1326  1000  1000  775
310  1310  1000  1000  808
311  1291  1000  1000  835
312  1275  1000  1000  778
313  1279  1000  1000  801
314  1235  1000  1000  824
315  1237  1000  1000  744
316  1218  1000  1001  735
317  1203  1000  999  647
318  1198  1000  1000  767
319  1193  1000  1001  725
320  1166  1000  999  695
321  1118  1000  1000  709
322  1114  1000  1000  673
323  1084  1000  1001  658
324  1096  1000  999  703
325  1036  1000  1001  646
326  1064  1000  1000  682
327  1053  1000  1000  616
328  1018  1000  983  601
329  975  1000  934  632
330  992  1000  904  646
331  987  1001  894  602
332  973  999  877  623
333  916  986  870  589
334  905  1015  836  546
335  902  999  836  596
336  885  1000  788  559
337  857  1001  809  567
338  858  1000  801  554
339  841  1000  783  534
340  815  1000  735  526
341  778  1000  763  513
342  790  1000  727  516
343  748  1000  747  527
344  755  1000  694  491
345  719  979  709  493
346  735  958  697  468
347  686  970  664  425
348  701  919  660  451
349  688  919  664  431
350  666  898  626  425
351  648  844  602  434
352  664  852  561  383
353  630  838  592  401
354  611  779  543  375
355  603  821  576  371
356  612  748  532  388
357  587  802  521  365
358  591  756  539  352
359  578  746  488  356
360  531  740  528  366
361  561  706  540  368
362  545  689  499  395
363  526  668  468  344
364  528  672  514  347
365  493  663  460  319
366  512  629  456  316
367  497  649  470  285
368  513  694  468  312
369  523  672  468  303
370  507  596  449  277
371  485  626  449  315
372  518  608  439  295
373  484  614  394  317
374  516  630  470  345
375  501  592  439  323
376  517  616  420  299
377  488  627  418  291
378  494  615  385  320
379  500  596  421  292
380  504  591  434  290
381  494  601  411  308
382  516  599  414  333
383  514  628  422  304
384  530  616  407  282
385  549  620  468  273
386  561  665  468  306
387  544  660  427  325
388  568  648  447  328
389  565  632  463  323
390  564  645  455  300
391  574  648  439  331
392  578  661  440  336
393  600  709  490  365
394  599  667  495  310
395  608  699  490  323
396  629  753  567  330
397  626  729  524  339
398  656  725  547  377
399  669  714  534  330
400  677  741  546  369
401  717  762  538  371
402  719  783  578  343
403  758  790  608  370
404  760  823  592  416
405  778  875  600  362
406  785  840  546  423
407  778  882  662  416
408  779  937  640  429
409  846  889  621  500
410  817  927  679  460
411  862  931  668  454
412  877  946  663  477
413  901  957  715  430
414  910  995  714  475
415  915  1011  694  454
416  939  1036  772  565
417  956  1062  759  519
418  987  1076  792  534
419  982  1080  788  516
420  1000  1102  823  529
421  1010  1148  820  568
422  1051  1155  823  568
423  1036  1165  876  618
424  1096  1103  869  557
425  1088  1000  871  533
426  1103  1000  927  620
427  1146  1000  910  600
428  1140  1000  910  589
429  1177  1000  941  657
430  1183  1000  943  627
431  1158  1000  989  607
432  1213  1000  1020  657
433  1233  1000  1024  684
434  1240  1000  987  647
435  1244  1000  1041  673
436  1276  1000  1084  646
437  1292  1000  1058  701
438  1300  1000  1063  726
439  1306  1000  1053  716
440  1337  1000  1036  722
441  1322  1000  1123  743
442  1347  1000  1145  730
443  1357  1000  1138  744
444  1389  1000  1141  784
445  1379  1000  1059  741
446  1414  1000  1000  768
447  1426  1000  1000  766
448  1408  1001  1000  732
449  1411  1000  1000  873
450  1443  999  1000  793
451  1420  1001  1000  867
452  1452  1000  1001  765
453  1453  1000  999  763
454  1462  1000  1000  842
455  1491  1000  1000  823
456  1469  1000  1000  839
457  1478  1000  1000  896
458  1498  1000  1000  820
459  1480  1000  1000  804
460  1491  1000  1001  950
461  1491  1000  999  867
462  1511  1000  1001  855
463  1497  1000  1000  803
464  1474  1000  1000  854
465  1519  1000  1000  869
466  1505  1000  1000  851
467  1478  1000  1000  905
468  1499  1000  1000  862
469  1487  1000  1000  847
470  1457  1000  1000  807
471  1492  1000  1000  976
472  1477  1000  1000  852
473  1462  1000  1000  859
474  1462  1000  1000  844
475  1475  1000  1000  834
476  1429  1000  1000  849
477  1455  1000  1000  838
478  1422  1000  1000  869
479  1414  1000  1000  842
480  1419  1000  1000  826
481  1411  1000  1000  754
482  1381  1001  1000  882
483  1395  999  1000  794
484  1365  1001  1000  838
485  1365  999  1000  810
486  1351  1001  1000  784
487  1335  1000  1000  787
488  1318  1000  1000  839
489  1295  1000  1000  792
490  1299  1000  1000  797
491  1285  1000  1000  811
492  1291  1000  1000  752
493  1246  1000  1000  760
494  1251  1000  1000  782
495  1233  1000  1000  740
496  1213  1000  1000  774
497  1175  1000  1000  763
498  1196  1000  1000  724
499  1157  1000  1000  715
500  1162  1000  1000  701
501  1119  1000  1000  700
502  1135  1000  1000  756
503  1095  1000  1001  677
504  1061  1000  1000  662
505  1083  1000  978  722
506  1040  1000  981  649
507  1018  1000  1005  662
508  995  1000  942  627
509  989  1000  909  631
510  952  1000  901  630
511  952  1000  879  627
512  933  1000  868  634
513  924  1000  890  593
514  908  1000  827  615
515  896  1000  829  535
516  857  1000  811  583
517  849  1001  784  531
518  832  1000  772  489
519  827  999  759  546
520  802  1001  769  474
521  802  1000  767  452
522  786  1000  733  493
523  756  1000  704  516
524  740  1000  682  490
525  728  952  676  479
526  704  955  667  461
527  695  906  688  469
528  688  897  637  495
529  696  871  631  407
530  655  899  587  448
531  667  841  614  413
532  640  845  595  448
533  635  839  559  382
534  610  797  612  403
535  601  818  565  409
536  594  822  528  408
537  579  761  555  358
538  569  761  530  392
539  543  708  504  402
540  544  707  487  331
541  558  709  493  353
542  556  703  483  322
543  523  646  504  331
544  511  588  458  304
545  507  711  466  339
546  516  642  480  366
547  502  646  446  309
548  513  663  457  330
549  510  646  455  293
550  510  638  451  283
551  507  647  431  290
552  501  630  463  283
553  514  595  435  315
554  504  563  450  329
555  469  529  433  331
556  510  638  407  288
557  501  580  425  311
558  497  587  446  273
559  501  618  429  249
560  497  584  427  256
561  521  583  456  307
562  496  631  408  285
563  531  649  411  281
564  514  602  406  269
565  517  639  447  278
566  538  575  440  282
567  538  643  440  303
568  559  632  469  316
569  568  654  474  335
570  566  637  456  350
571  608  671  510  317
572  590  677  479  321
573  592  618  464  325
574  606  691  516  311
575  628  681  499  330
576  616  700  506  343
577  624  662  532  326
578  661  773  551  371
579  686  725  513  402
580  698  772  542  376
581  716  773  563  375
582  727  731  567  360
583  705  816  613  398
584  743  773  604  430
585  761  824  614  434
586  756  864  634  396
587  798  916  624  408
588  810  841  660  418
589  830  931  634  464
590  845  966  653  487
591  855  962  663  460
592  888  963  707  474
593  912  984  624  472
594  906  993  791  492
595  919  1067  748  503
596  949  1071  760  514
597  972  1080  794  529
598  981  1117  793  540
599  1008  1082  817  494
600  1019  1160  825  530
601  1035  1179  794  522
602  1063  1152  848  601
603  1085  1069  854  575
604  1105  1000  798  622
605  1110  1000  935  588
606  1109  1000  887  614
607  1156  1000  900  659
608  1154  1000  904  577
609  1162  1001  947  656
610  1191  1000  956  642
611  1213  1000  983  643
612  1226  1000  999  610
613  1244  1000  975  713
614  1264  1001  1006  689
615  1257  999  945  686
616  1284  1000  1151  698
617  1297  1000  1093  709
618  1321  1000  1111  712
619  1306  1000  1096  749
620  1343  1000  1112  731
621  1364  1001  1098  752
622  1375  999  1075  721
623  1351  1001  1116  732
624  1401  1000  1085  828
625  1368  1000  1000  806
626  1414  1000  1000  793
627  1428  1000  1000  759
628  1449  1000  1000  808
629  1421  1000  1000  773
630  1443  1000  1000  735
631  1416  1000  1000  788
632  1444  1000  1000  829
633  1460  1000  1000  852
634  1470  1000  1000  745
635  1463  1000  1000  898
636  1465  1000  1001  819
637  1490  1000  1000  835
638  1476  1000  1000  840
639  1495  1000  1000  830
640  1483  1000  1000  798
641  1505  1000  1000  824
642  1471  1000  1000  902
643  1487  1000  1000  852
644  1479  1000  1000  859
645  1487  1000  1000  786
646  1484  1000  1000  877
647  1473  1000  1000  810
648  1483  1000  1000  789
649  1511  1000  1000  854
650  1492  1000  1000  857
651  1476  1000  1000  855
652  1455  1000  1000  845
653  1483  1000  1000  858
654  1433  1000  1000  878
655  1460  1000  1000  858
656  1435  1000  1000  853
657  1415  1000  1000  851
658  1443  1001  1000  821
659  1409  1000  1000  800
660  1425  1000  1000  819
661  1395  999  1000  798
662  1391  1000  1000  834
663  1393  1001  1000  806
664  1371  1000  1001  823
665  1364  1000  1000  824
666  1334  990  999  779
667  1325  1000  1000  772
668  1304  999  1000  774
669  1296  1001  1000  777
670  1317  1000  1001  770
671  1258  1000  1000  799
672  1250  1000  1000  801
673  1241  1000  1000  745
674  1234  1000  1000  740
675  1226  1000  1000  744
676  1198  1000  1000  725
677  1193  1000  1000  766
678  1158  1000  1000  764
679  1127  1000  1000  755
680  1125  1000  1000  664
681  1142  1000  1000  734
682  1102  1000  1000  715
683  1094  1000  1000  691
684  1072  1000  963  648
685  1056  1000  963  669
686  1034  1000  950  625
687  1013  1000  950  657
688  1001  1000  905  630
689  995  1000  920  631
690  964  1000  944  646
691  936  1000  906  560
692  944  1000  868  573
693  901  1000  846  613
694  893  1000  798  599
695  847  1001  834  566
696  863  1000  773  536
697  852  1000  788  521
698  835  1000  795  514
699  806  1000  785  530
700  815  1000  749  485
701  770  1000  713  499
702  768  1000  752  484
703  741  1000  731  503
704  744  1000  677  504
705  721  908  678  498
706  714  1077  671  463
707  678  941  675  448
708  662  878  636  411
709  665  887  588  401
710  654  870  596  421
711  651  873  630  418
712  604  867  599  408
713  631  826  589  409
714  586  780  589  416
715  595  802  551  387
716  581  711  526  353
717  563  788  543  356
718  578  764  532  379
719  537  713  476  342
720  580  734  510  353
721  534  736  479  350
722  537  692  497  328
723  508  676  461  339
724  513  659  461  315
725  525  653  468  345
726  538  688  465  363
727  487  562  467  335
728  512  651  467  285
729  472  605  414  309
730  492  581  424  313
731  512  627  456  301
732  496  636  423  315
733  487  563  422  288
734  474  608  451  308
735  493  610  471  301
736  501  606  435  290
737  512  597  421  323
738  492  609  437  328
739  512  623  409  283
740  509  573  446  293
741  532  601  429  292
742  492  593  407  278
743  524  589  423  282
744  522  610  431  272
745  548  611  404  331
746  554  607  440  317
747  565  669  435  294
748  573  640  478  316
749  580  609  444  299
750  576  664  442  288
751  575  652  492  321
752  596  664  451  332
753  615  658  491  351
754  626  696  523  333
755  619  686  495  324
756  652  762  527  369
757  670  711  543  337
758  661  768  521  335
759  688  772  529  355
760  709  770  542  363
761  720  750  543  419
762  715  819  572  430
763  741  820  588  413
764  745  832  608  400
765  794  841  599  378
766  804  891  612  421
767  799  872  648  434
768  809  888  623  433
769  873  915  662  434
770  850  946  690  481
771  881  959  704  505
772  878  923  749  477
773  899  991  728  472
774  925  1038  774  492
775  952  1068  749  479
776  985  1061  739  485
777  973  1113  775  554
778  985  1135  809  543
779  991  1102  749  582
780  1029  1209  908  548
781  1054  1186  852  549
782  1066  1046  873  548
783  1079  995  892  590
784  1101  1005  874  590
785  1112  1000  862  647
786  1130  1000  900  593
787  1179  1000  917  585
788  1159  1000  930  708
789  1184  1000  928  659
790  1216  1000  865  670
791  1198  1000  1057  653
792  1241  1000  970  680
793  1245  1000  998  670
794  1271  1000  1095  667
795  1268  1000  1009  715
796  1289  1000  1097  709
797  1316  1000  1113  746
798  1292  1000  1087  621
799  1333  1000  1098  783
800  1331  1000  1119  726
801  1360  1000  1037  705
802  1373  1000  1234  733
803  1400  1000  1000  721
804  1388  1000  1000  769
805  1414  1000  1000  746
806  1410  1000  1000  767
807  1432  1000  1000  815
808  1423  1000  1000  821
809  1427  1000  1000  765
810  1433  1000  1000  833
811  1462  1000  1001  860
812  1440  1000  999  850
813  1457  1000  1001  847
814  1478  1000  1000  826
815  1494  1000  1000  820
816  1495  1000  1000  823
817  1472  1001  1000  808
818  1498  1000  1000  893
819  1484  1000  1000  829
820  1493  1000  1000  848
821  1510  993  1000  852
822  1491  1007  1000  814
823  1495  1000  1000  854
824  1509  1000  1000  837
825  1492  1000  1000  898
826  1493  1000  1000  872
827  1503  1000  1000  889
828  1482  1000  1000  863
829  1465  1000  1000  825
830  1491  1000  1000  811
831  1461  1000  1000  871
832  1494  1000  1000  863
833  1476  1000  1000  856
834  1456  1000  1000  820
835  1447  1000  1000  841
836  1426  1000  992  812
837  1436  1000  1008  855
838  1450  1000  1000  828
839  1406  1000  1000  847
840  1420  1000  1000  802
841  1396  1000  1000  823
842  1375  1000  1000  800
843  1382  1000  1000  854
844  1340  1000  1000  835
845  1333  1000  1001  821
846  1351  1000  1000  781
847  1331  1000  1000  760
848  1312  1000  1000  778
849  1287  1000  1000  792
850  1292  1000  1000  746
851  1289  1000  1000  794
852  1277  1000  1000  773
853  1233  1001  1000  770
854  1223  1000  1000  765
855  1224  1000  1000  726
856  1179  1000  1000  763
857  1169  1000  1000  771
858  1160  1000  1000  752
859  1121  998  1000  723
860  1129  1002  1000  732
861  1105  1000  1000  676
862  1068  1000  1000  698
863  1071  1000  1000  683
864  1046  1000  1000  629
865  1042  1000  1000  692
866  1011  1000  972  662
867  1004  1000  947  566
868  984  1000  914  622
869  981  1000  891  586
870  967  1000  904  592
871  937  1000  908  619
872  919  1000  882  615
873  902  1000  825  575
874  882  1000  835  548
875  869  1000  787  551
876  859  1000  788  518
877  855  1000  789  537
878  823  1000  765  526
879  788  1000  670  495
880  785  1000  838  500
881  759  1000  724  467
882  762  1000  698  476
883  717  1000  696  515
884  744  1000  705  447
885  692  958  660  446
886  697  936  644  454
887  689  874  652  432
888  677  779  648  449
889  673  983  588  475
890  652  850  562  427
891  639  806  654  402
892  612  788  588  388
893  623  841  599  383
894  604  770  574  390
895  596  788  564  360
896  574  799  569  356
897  584  758  547  409
898  587  733  516  430
899  560  715  526  355
900  541  716  510  337
901  520  683  439  317
902  532  719  544  324
903  508  650  458  353
904  497  668  489  336
905  523  652  476  319
906  507  656  452  289
907  511  653  454  330
908  525  618  420  294
909  502  597  444  298
910  495  636  421  317
911  472  634  442  278
912  499  606  394  301
913  474  616  465  298
914  502  601  429  281
915  505  614  443  276
916  520  618  426  274
917  499  601  442  296
918  513  601  457  273
919  512  606  447  306
920  490  597  420  279
921  516  598  411  282
922  525  619  415  264
923  526  600  402  302
924  540  605  423  298
925  562  631  449  271
926  521  618  447  293
927  541  618  440  317
928  569  650  445  286
929  582  656  470  298
930  596  672  499  370
931  584  650  472  296
932  594  676  502  337
933  616  707  465  325
934  606  717  471  381
935  623  703  513  354
936  654  743  535  365
937  652  772  526  351
938  699  716  548  347
939  698  784  531  361
940  700  765  560  344
941  693  816  579  406
942  729  795  570  416
943  741  849  617  390
944  776  831  623  407
945  776  897  645  401
946  781  893  626  412
947  835  894  624  443
948  825  908  669  429
949  852  916  683  455
950  866  935  695  451
951  887  944  720  407
952  896  968  707  510
953  926  1030  709  508
954  939  1036  749  516
955  964  1088  722  485
956  973  1112  773  518
957  979  1099  764  508
958  1007  1093  769  539
959  1007  1150  819  523
960  1024  1171  857  530
961  1068  1143  864  576
962  1093  1009  849  553
963  1093  1000  878  623
964  1120  1000  881  630
965  1126  1000  905  622
966  1147  1000  923  632
967  1168  1000  925  609
968  1166  1000  969  633
969  1186  1000  983  627
970  1217  1000  972  631
971  1226  1000  1004  662
972  1245  1000  1047  702
973  1245  1000  1049  655
974  1275  1000  1002  710
975  1282  1000  1059  681
976  1278  1000  1104  703
977  1303  1000  1060  694
978  1327  1000  1083  723
979  1343  1000  1132  725
980  1343  1000  1140  762
981  1371  1000  1152  723
982  1380  1000  1104  741
983  1407  1000  1000  745
984  1394  1000  1000  745
985  1414  1000  1000  791
986  1397  1000  1000  795
987  1416  1000  1000  813
988  1443  1000  1000  788
989  1445  1000  1000  817
990  1435  1000  1000  797
991  1462  1000  1000  800
992  1489  1000  1000  836
993  1465  1000  1000  854
994  1466  1001  1000  834
995  1497  999  1000  811
996  1491  1001  1000  835
997  1492  999  1000  843
998  1498  1000  1000  806
999  1480  1001  1000  889
1000  1517  1000  1000  877
1001  1498  1000  1000  870
1002  1462  1000  1000  873
1003  1522  1000  1000  841
1004  1500  1000  1000  844
1005  1500  1000  1000  899
1006  1471  1000  994  893
1007  1503  1000  1006  817
1008  1457  1000  1000  867
1009  1478  1000  1000  891
1010  1471  1000  1000  856
1011  0  1000  1000  832
1012  0  999  1000  814
1013  0  1001  1000  865
1014  0  1000  1000  851
1015  0  1000  1001  871
1016  0  1000  1000  366
1017  0  1000  1000  0
1018  0  1000  1000  0
1019  0  1000  1000  0
1020  0  1000  1000  0
1021  0  1000  1000  0
1022  0  1000  1000  0
1023  0  1000  1000  0
1024  0  1000  1000  0
1025  0  1000  1000  0
1026  0  1000  1000  0
1027  0  1000  1000  0
1028  0  1000  1000  0
1029  0  1000  1000  0
1030  0  1000  1000  0
1031  0  1001  1000  0
1032  0  999  1000  0
1033  0  1001  1000  0
1034  0  1000  1000  0
1035  0  1000  1000  0
1036  0  1000  1000  0
1037  0  1000  1000  0
1038  0  1000  1000  0
1039  0  1000  1000  0
1040  0  1000  1000  0
1041  0  1000  1000  0
1042  0  1000  1000  0
1043  0  1000  1000  0
1044  0  1000  992  0
1045  0  1000  984  0
1046  0  1000  958  0
1047  0  1000  912  0
1048  0  1000  912  0
1049  0  1000  938  0
1050  0  1000  878  0
1051  0  1000  854  0
1052  0  1000  818  0
1053  0  1000  813  0
1054  0  1000  825  0
1055  0  1000  815  0
1056  0  1000  831  0
1057  0  1000  786  0
1058  0  1000  764  0
1059  0  1000  763  0
1060  0  1000  755  0
1061  0  1000  710  0
1062  0  1000  710  0
1063  0  1000  689  0
1064  0  1001  727  0
1065  0  955  687  0
1066  0  871  624  0
1067  0  927  655  0
1068  0  891  624  0
1069  0  852  619  0
1070  0  833  623  0
1071  0  829  575  0
1072  0  787  559  0
1073  0  771  579  0
1074  0  779  568  0
1075  0  791  559  0
1076  0  754  536  0
1077  0  728  538  0
1078  0  741  508  0
1079  0  739  499  0
1080  0  687  536  0
1081  0  699  491  0
1082  0  695  481  0
1083  0  640  497  0
1084  0  624  450  0
1085  0  660  465  0
1086  0  663  455  0
1087  0  642  447  0
1088  0  600  442  0
1089  0  620  462  0
1090  0  614  477  0
1091  0  616  450  0
1092  0  588  431  0
1093  0  611  459  0
1094  0  562  442  0
1095  0  605  419  0
1096  0  594  460  0
1097  0  593  443  0
1098  0  585  397  0
1099  0  587  482  0
1100  0  577  430  0
1101  0  554  453  0
1102  0  634  405  0
1103  0  624  430  0
1104  0  631  448  0
1105  0  608  460  0
1106  0  626  460  0
1107  0  634  441  0
1108  0  639  463  0
1109  0  629  476  0
1110  0  685  461  0
1111  0  679  499  0
1112  0  637  474  0
1113  0  700  505  0
1114  0  714  487  0
1115  0  714  550  0
1116  0  699  510  0
1117  0  757  556  0
1118  0  748  540  0
1119  0  784  548  0
1120  0  803  540  0
1121  0  825  600  0
1122  0  813  593  0
1123  0  844  614  0
1124  0  858  570  0
1125  0  867  389  0
1126  0  862  0  0
1127  0  910  0  0
1128  0  958  0  0
1129  0  922  0  0
1130  0  966  0  0
1131  0  982  0  0
1132  0  1017  0  0
1133  0  1009  0  0
1134  0  1024  0  0
1135  0  1058  0  0
1136  0  1102  0  0
1137  0  1112  0  0
1138  0  1108  0  0
1139  0  1117  0  0
1140  0  1172  0  0
1141  0  1209  0  0
1142  0  1020  0  0
1143  0  1000  0  0
1144  0  1000  0  0
1145  0  1000  0  0
1146  0  1000  0  0
1147  0  1000  0  0
1148  0  1000  0  0
1149  0  1000  0  0
1150  0  1000  0  0
1151  0  1000  0  0
1152  0  990  0  0
1153  0  1000  0  0
1154  0  1000  0  0
1155  0  1000  0  0
1156  0  1000  0  0
1157  0  1000  0  0
1158  0  1000  0  0
1159  0  1000  0  0
1160  0  1000  0  0
1161  0  1000  0  0
1162  0  1000  0  0
1163  0  1000  0  0
1164  0  983  0  0
1165  0  1017  0  0
1166  0  1000  0  0
1167  0  1000  0  0
1168  0  1000  0  0
1169  0  1000  0  0
1170  0  1001  0  0
1171  0  999  0  0
1172  0  1001  0  0
1173  0  1000  0  0
1174  0  1000  0  0
1175  0  1000  0  0
1176  0  1000  0  0
1177  0  1000  0  0
1178  0  1000  0  0
1179  0  1000  0  0
1180  0  1000  0  0
1181  0  1000  0  0
1182  0  1000  0  0
