thread db	qps	avg	p50	p75	p99	p999	p9999
1	RocksDB	1318	446.81	333.88	900.81	1285.40	1299.82	2697.37
5	RocksDB	1317	1723.51	352.32	4628.63	6537.58	10658.02	13888.06
10	RocksDB	1317	3347.66	370.38	10097.87	13896.55	19858.62	21998.72
20	RocksDB	1312	6859.20	442.42	15155.73	31884.49	34065.16	48885.41
1	Auto	1319	400.15	279.70	750.89	1291.31	1831.54	2779.61
5	Auto	1320	1690.78	348.60	4611.20	6532.60	9334.17	13790.56
10	Auto	1319	3327.25	374.00	10067.24	13877.62	18636.72	21867.17
20	Auto	1316	6689.40	437.85	14999.57	31741.05	32966.61	48442.78
1	CruiseDB	1284	564.80	328.41	873.49	1289.88	66112.37	84352.00
5	CruiseDB	1301	1793.51	351.71	4661.56	6535.09	12775.12	95876.00
10	CruiseDB	1302	3690.71	372.61	10173.19	13942.21	98520.00	98520.00
20	CruiseDB	1292	9585.90	444.85	16357.86	27330.44	108733.99	109874.34
1	SILK	1305	424.30	325.73	794.17	1030.54	1307.09	1396.84
5	SILK	1308	1702.58	344.27	4590.67	5252.78	6408.36	11420.20
10	SILK	1311	3248.29	370.37	9116.45	10539.40	13399.34	16560.00
20	SILK	1308	6809.32	395.37	18311.19	22417.48	29317.96	34667.25
1	PLSDB	1454	141.07	13.63	304.19	550.58	579.65	867.70
5	PLSDB	1465	151.44	18.90	313.74	562.88	650.94	1071.75
10	PLSDB	1467	163.23	25.80	328.79	569.72	743.44	921.38
20	PLSDB	1471	175.50	31.83	351.68	576.67	851.56	1269.39
