db	ebs_iops	qps	avg	p50	p75	p99	p999
RocksDB	1000	1317	3348	370	10098	13897	19859
Auto	1000	1319	3327	374	10067	13878	18637
SILK	1000	1302	3691	373	10173	13942	98520
CruiseDB	1000	1311	3248	370	9116	10539	13399
Calcspar	1000	1467	163	26	329	570	743
RocksDB	5000	6728	723	181	1684	2860	3238
Auto	5000	6671	775	329	1770	2865	3667
SILK	5000	6702	746	254	1701	2859	2900
CruiseDB	5000	6752	755	337	1811	2172	2492
Calcspar	5000	7404	135	19	289	562	781
RocksDB	10000	11041	450	331	879	1296	1829
Auto	10000	11039	463	342	919	1288	1655
SILK	10000	11071	416	315	810	1369	1592
CruiseDB	10000	11021	418	260	801	1614	1877
Calcspar	10000	12011	133	11	298	556	619
RocksDB	15000	20134	325	295	561	1086	1296
Auto	15000	19804	367	345	614	867	1721
SILK	15000	20078	300	161	544	1170	1297
CruiseDB	15000	20229	297	148	518	715	984
Calcspar	15000	22260	98	21	145	542	765
