db	type	qps	avg	p50	p75	p99	p999	p9999
RocksDB	gp2	3868	1362.3481	402.82	3255.03	4392.89	8806.29	13667.62
Auto	gp2	3975	1300.8295	377.25	3192.91	4387.73	6491.48	9836.64
CruiseDB	gp2	3994	1325.3602	394.02	3186.3	4381.72	6414.11	92115.23
SILK	gp2	4025	1282.1026	383.8	3095.82	3452.93	4335.29	4985.37
Calcspar	gp2	4360	155.4214	19.56	316.11	747.87	1246.26	1875.03
RocksDB	gp3	4009	1348.5071	561.04	3184.02	4374.62	6273.33	24584.55
Auto	gp3	3972	1358.5685	564.31	3194.98	4379.42	6443.08	10380.75
CruiseDB	gp3	3995	1374.3669	566.58	3188.65	4375.97	6358.9	92753.1
SILK	gp3	4024	1337.0309	552.65	3095.37	3482.56	4299.29	4977.04
Calcspar	gp3	4359	213.0617	19.11	434.87	859.48	1284.6	5677.74
RocksDB	io1	4012	1300.235	423.3	3185.36	4377.29	6270.5	16960.1
Auto	io1	3978	1317.1352	422.3	3198.82	4383.55	6595.71	25646.08
CruiseDB	io1	3995	1321.9414	410.15	3201.34	4376.57	6355.03	86890.84
SILK	io1	4023	1294.1796	402.87	3112.21	3451.25	4290.64	4917.98
Calcspar	io1	4358	161.9925	20.28	323.97	775.49	1270.16	2419.01
RocksDB	io2	3964	1294.3359	353.68	3224.85	4393.33	6528.78	9503.42
Auto	io2	3906	1326.6711	364.06	3238.54	4398.7	7200.58	13364.95
CruiseDB	io2	3976	1299.3165	355.49	3231.61	4381.91	6307.18	8395.54
SILK	io2	4030	1249.0197	349.84	3118.27	3445.28	4283.6	4907.61
Calcspar	io2	4362	95.1538	20.63	145.25	541.14	688.92	1231.53
