QPS	db	iops	avglat	99lat
500	Calcspar	492	158.9	677.4
1000	Calcspar	991	176	641.9
1500	Calcspar	1459	196.2	671.3
2000	Calcspar	1915	199.9	683.3
2500	Calcspar	1968	1645.3	13596.4
3000	Calcspar	1944	2528.4	13664.7
500	RocksDB	492	343.8	804.8
1000	RocksDB	989	491.8	10441.5
1500	RocksDB	1250	3782.2	13940.2
2000	RocksDB	1401	5045.9	15370.3
2500	RocksDB	1473	5837.7	16714
3000	RocksDB	1503	6638.7	15145.6
500	Auto	492	314.9	812.7
1000	Auto	989	441.9	9802.4
1500	Auto	1251	3761.8	13899
2000	Auto	1423	5018.7	15894
2500	Auto	1445	5806.2	16231
3000	Auto	1497	6860.2	16002.1
500	CruiseDB	356	195	1079
1000	CruiseDB	812	903.2	10369.4
1500	CruiseDB	1229	4729.1	11477.7
2000	CruiseDB	1398	6309.2	12345
2500	CruiseDB	1456	6299.2	12563
3000	CruiseDB	1492	6735.3	13989.3
500	SILK	488	342.6	686.6
1000	SILK	967	577.5	505.9
1500	SILK	1241	3732.6	12675.2
2000	SILK	1425	4658.6	12845.6
2500	SILK	1489	6213.7	13540.5
3000	SILK	1509	6350.4	13910.7
