ratio	DB	avg	lat
100%	RocksDB	0.398	0.398
100%	RocksDB	0.335	0.502
100%	RocksDB	0.331	0.46
100%	RocksDB	0.333	0.567
100%	RocksDB	0.332	0.497
100%	RocksDB	0.331	0.568
100%	RocksDB	0.333	0.563
100%	RocksDB	0.331	0.573
100%	RocksDB	0.33	0.568
100%	RocksDB	0.328	0.562
100%	RocksDB	0.327	0.566
100%	RocksDB	0.329	0.541
100%	RocksDB	0.326	0.565
100%	RocksDB	0.331	0.551
100%	RocksDB	0.334	0.575
100%	RocksDB	0.338	0.569
100%	RocksDB	0.328	0.534
100%	RocksDB	0.322	0.542
100%	RocksDB	0.327	0.502
100%	RocksDB	0.326	0.569
100%	RocksDB	0.325	0.559
100%	RocksDB	0.327	0.521
100%	RocksDB	0.325	0.568
100%	RocksDB	0.324	0.566
100%	RocksDB	0.329	0.567
100%	RocksDB	0.337	0.572
100%	RocksDB	0.357	0.573
100%	RocksDB	0.357	0.521
100%	RocksDB	0.341	0.574
100%	RocksDB	0.317	0.503
100%	RocksDB	0.323	0.568
100%	RocksDB	0.324	0.518
100%	RocksDB	0.319	0.478
100%	RocksDB	0.316	0.49
100%	RocksDB	0.323	0.565
100%	RocksDB	0.32	0.472
100%	RocksDB	0.318	0.501
100%	RocksDB	0.315	0.532
100%	RocksDB	0.32	0.565
100%	RocksDB	0.31	0.47
100%	RocksDB	0.318	0.566
100%	RocksDB	0.311	0.563
100%	RocksDB	0.312	0.537
100%	RocksDB	0.313	0.564
100%	RocksDB	0.309	0.564
100%	RocksDB	0.306	0.509
100%	RocksDB	0.308	0.52
100%	RocksDB	0.311	0.52
100%	RocksDB	0.31	0.543
100%	RocksDB	0.312	0.476
100%	RocksDB	0.306	0.559
100%	RocksDB	0.318	0.569
100%	RocksDB	0.315	0.566
100%	RocksDB	0.316	0.571
100%	RocksDB	0.308	0.503
100%	RocksDB	0.305	0.558
100%	RocksDB	0.309	0.468
100%	RocksDB	0.304	0.566
100%	RocksDB	0.305	0.567
100%	RocksDB	0.304	0.568
100%	RocksDB	0.303	0.568
100%	RocksDB	0.298	0.565
100%	RocksDB	0.302	0.574
100%	RocksDB	0.318	0.719
100%	RocksDB	0.301	0.57
100%	RocksDB	0.309	0.576
100%	RocksDB	0.307	0.579
100%	RocksDB	0.339	1.164
100%	RocksDB	0.86	1.297
100%	RocksDB	0.874	1.295
100%	RocksDB	0.858	1.296
100%	RocksDB	0.863	1.297
100%	RocksDB	0.868	1.297
100%	RocksDB	0.87	1.296
100%	RocksDB	0.879	1.295
100%	RocksDB	0.876	1.297
100%	RocksDB	0.862	1.296
100%	RocksDB	0.872	1.296
100%	RocksDB	0.866	1.296
100%	RocksDB	0.85	1.297
100%	RocksDB	0.849	1.297
100%	RocksDB	0.858	1.295
100%	RocksDB	0.846	1.295
100%	RocksDB	0.839	1.296
100%	RocksDB	0.849	1.295
100%	RocksDB	0.849	1.295
100%	RocksDB	0.845	1.231
100%	RocksDB	0.856	1.295
100%	RocksDB	0.832	1.296
100%	RocksDB	0.827	1.283
100%	RocksDB	0.846	1.268
100%	RocksDB	0.85	1.283
100%	RocksDB	0.833	1.295
100%	RocksDB	0.832	1.534
100%	RocksDB	0.821	1.339
100%	RocksDB	0.807	1.3
100%	RocksDB	0.825	1.3
100%	RocksDB	0.827	1.298
100%	RocksDB	0.828	1.298
100%	RocksDB	0.82	1.296
100%	RocksDB	0.827	1.296
100%	RocksDB	0.832	1.295
