db	workload	qps	latmean	lat50	lat75	lat99
Calcspar	workloada	2808.24	97.55	12	22	469
Calcspar	workloadb	1725.91	156.11	12	346	481
Calcspar	workloadc	1696.66	156.74	11	337	475
Calcspar	workloadd	2297.59	136.81	8	336	477
Calcspar	workloade	580.81	1380.89	614	1285	1903
Calcspar	workloadf	1836.8	242.71	21	321	487
RocksDB	workloada	2791.86	105.11	12	19	992
RocksDB	workloadb	1727.7	159.11	11	348	984
RocksDB	workloadc	1700.17	177.46	10	351	1008
RocksDB	workloadd	2300.53	135.01	8	336	980
RocksDB	workloade	582.65	1380.11	896	2853	4175
RocksDB	workloadf	1737.76	301.57	20	467	1256
Auto	workloada	2807.61	101.21	11	19	986
Auto	workloadb	1730.1	157.63	10	347	976
Auto	workloadc	1700.15	170.59	9	349	1012
Auto	workloadd	2312.28	119.43	7	140	988
Auto	workloade	582.61	1384.02	917	2857	4167
Auto	workloadf	1733.86	305.79	21	472	1267
SILK	workloada	2838.44	96.55	13	20	811
SILK	workloadb	1707.87	170.98	11	347	1004
SILK	workloadc	1631.71	198.40	10	350	1060
SILK	workloadd	2185.08	149.56	8	135	1073
SILK	workloade	558.58	1747.90	558	1335	4247
SILK	workloadf	1700.11	278.80	18	381	1312
CruiseDB	workloada	2706.73	116.55	12	20	850
CruiseDB	workloadb	1725.2	149.24	11	339	990
CruiseDB	workloadc	1712.11	170.89	8	348	1000
CruiseDB	workloadd	2308.41	120.86	8	142	989
CruiseDB	workloade	582.24	1370.31	788	2831	4271
CruiseDB	workloadf	1719.38	306.93	22	395	1254
