time	IO	Ur	Fw	Cr	Cw	IOPS	read	write	mean	25th	50th	75th	99th	QPS
0	851	826	25	0	0	2029	1032	997	152.75	18	113	338	481	2040
1	1009	1009	0	0	0	2054	1002	1052	147.14	18	33	335	487	2060
2	1021	1021	0	0	0	2041	1018	1023	147.29	18	39	335	474	2200
3	1076	1076	0	0	0	2118	1071	1047	164	20	115	342	496	1980
4	1037	1037	0	0	0	2101	1043	1058	150.68	19	38	338	476	2100
5	1103	1103	0	0	0	2181	1122	1059	148.69	19	114	335	470	2340
6	1069	1069	0	0	0	2068	1016	1052	2078.82	17	37	4255	10047	2110
7	1004	1004	0	0	0	2008	994	1014	2766.62	17	43	5795	10295	2150
8	999	999	0	0	0	1925	989	936	3279.04	16	2041	6363	10791	2230
9	998	998	0	0	0	2005	996	1009	3099.66	15	29	6227	10471	2280
10	1002	1002	0	0	0	1952	995	957	3411.46	16	3125	6759	10479	2400
11	998	998	0	0	0	2038	996	1042	3204.54	15	25	6523	10319	2330
12	1001	1001	0	0	0	1963	995	968	3494.33	16	2847	6863	11023	2450
13	998	998	0	0	0	2043	998	1045	3185.03	16	28	6287	10327	2520
14	1002	1002	0	0	0	2011	998	1013	3395.61	16	33	6803	10759	2560
15	1000	1000	0	0	0	2008	997	1011	3417.85	15	31	6871	10623	2540
16	999	999	0	0	0	1991	993	998	3509.06	15	29	6975	11391	2460
17	1001	1001	0	0	0	2000	998	1002	3485.23	15	31	6935	10999	2710
18	1001	1001	0	0	0	2030	994	1036	3345.71	15	28	6779	10759	2470
19	1000	1000	0	0	0	1996	998	998	3552.21	15	31	6987	11215	2530
20	997	997	0	0	0	2001	994	1007	3524.37	15	31	6991	11143	2710
21	999	999	0	0	0	2016	998	1018	3528.67	15	28	7003	10983	2660
22	1003	1003	0	0	0	1996	999	997	3609.04	15	32	7091	10879	2610
23	1000	1000	0	0	0	1959	985	974	3650.74	16	2983	7055	11247	2740
24	995	965	30	0	0	1891	966	925	3983.95	14	4263	7403	11967	2700
25	999	999	0	0	0	2001	992	1009	3600.19	14	29	7115	10807	2920
