cdf         gp2-min     gp2	    gp2-max	    gp3-min	    gp3	    gp3-max	    io1-min	    io1	    io1-max	    io2-min	    io2	    io2-max
0	        0	        0	    0	        0	        0	    0	        0	        0	    0	        0	        0	    0
0.01	    122	        124	    130	        174	        174	    192	        124	        121	    133	        79	        78	    82
0.05	    129	        133	    151	        184	        184	    265	        133	        130	    159	        81	        80	    97
0.1	        135	        137	    186	        194	        196	    330	        137	        137	    192	        83	        82	    310
0.2	        141	        145	    255	        221	        219	    420	        147	        149	    247	        86	        85	    318
0.3	        147	        153	    293	        277	        277	    490	        155	        159	    281	        89	        87	    326
0.4	        153	        163	    314	        338	        343	    562	        165	        172	    306	        92	        90	    330
0.5	        163	        176	    326	        408	        412	    635	        178	        184	    326	        95	        93	    330
0.6	        174	        192	    338	        482	        486	    693	        192	        200	    343	        97	        95	    334
0.7	        188	        210	    355	        562	        562	    725	        210	        221	    359	        100	        98	    338
0.8	        210	        237	    375	        635	        644	    857	        239	        249	    388	        104	        102	    343
0.9	        249	        293	    420	        717	        717	    1004	    289	        306	    433	        110	        106	    351
0.95        297	        371	    474	        717	        725	    1106	    347	        371	    478	        115	        112	    355
0.99        486	        603	    635	        725	        725	    1303	    510	        545	    603	        133	        124	    363
0.995	    603	        725	    734	        725	        734	    1352	    594	        619	    668	        141	        131	    371
0.999	    873	        1106	1057	    848	        775	    1401	    816	        791	    832	        155	        151	    388
0.9995	    1012	    1434	1270	    971	        857	    1434	    922	        873	    922	        163	        174	    396
0.9999	    1434	    2311	1827	    1254	    963	    1663	    1303	    1123	1270	    200	        289	    420
1           2186	    3180	3067	    2168	    1355	1899	    2235	    1713	2228	    251	        775	    466
