cdf	    io2-15k-min	io2-15k	io2-15k-max	io2-10k-min	io2-10k	io2-10k-max	io2-5k-min	io2-5k	io2-5k-max	io2-1k-min	io2-1k	io2-1k-max
0	    0	        0	    0	        0	        0	    0	            0	       0	    0	        0	        0	    0
0.01	81	        82	    91	        81	        83	    86	            80	       81	    86	        84	        81	    93
0.05	84	        85	    102	        84	        86	    96	            84	       83	    110	        87	        87	    118
0.1	    86	        87	    127	        86	        88	    486	            87	       85	    1004	    91	        93	    4948
0.2	    88	        90	    594	        89	        91	    979	            91	       87	    1991	    98	        100	    10028
0.3	    91	        92	    652	        92	        94	    988	            94	       90	    1991	    105	        109	    10028
0.4	    94	        94	    660	        94	        97	    996	            98	       92	    1991	    113	        115	    10028
0.5	    96	        97	    668	        97	        101	    996	            102	       95	    2008	    119	        120	    10028
0.6	    99	        99	    668	        100	        105	    1004	        108	       99	    2008	    124	        125	    10028
0.7	    103	        103	    676	        104	        112	    1012	        115	       104	    2008	    131	        133	    10028
0.8	    110	        109	    685	        111	        125	    1020	        126	       113	    2180	    143	        141	    10945
0.9	    120	        122	    734	        135	        163	    1106	        208	       141	    2212	    196	        186	    10945
0.95	260	        210	    799	        262	        265	    1205	        260	       262	    2212	    210	        225	    11076
0.99	277	        273	    914	        273	        281	    1401	        273	       273	    2409	    265	        269	    11076
0.995	281	        277	    938	        277	        293	    1418	        277	       277	    2409	    269	        273	    11076
0.999	289	        285	    1004	    285	        330	    1418	        293	       289	    2409	    281	        285	    11076
0.9995	293	        289	    1012	    293	        351	    1434	        302	       297	    2442	    289	        289	    11076
0.9999	314	        310	    1074	    322	        461	    1467	        343	       330	    2442	    306	        306	    11076
1	    1120	    1099	6771	    708	        3106	1818	        897	       3727	    2845	    379	        509	    11147
