num	b_t		s_t	sm_t	w_t	u_t	e_t	r_seq
1	0	 	0	22	221	286	286	1
2	0.001		286	4	128	132	418	2
3	0.002		418	4	86	90	508	3
4	0.003		508	4	143	147	655	4
5	0.004		655	4	119	123	778	5
6	0.005		778	4	97	101	879	6
7	0.006		879	4	88	92	971	7
8	0.007		971	3	92	95	1066	8
9	0.008		1066	2	88	91	1157	9
10	0.009		1158	3	113	116	1274	10
11	0.01		1274	3	99	102	1376	11
12	0.011		1376	3	113	116	1492	12
13	0.012		1492	3	89	95	1587	13
14	0.013		1587	3	93	96	1683	14
15	0.014		1683	3	122	125	1808	15
16	0.015		1808	3	85	88	1896	16
17	0.016		1896	3	104	107	2003	17
18	0.017		2003	3	84	87	2090	18
19	0.018		2090	3	86	89	2179	19
20	0.019		2179	3	85	88	2267	20
21	0.02		2268	3	86	89	2357	21
22	0.021		2357	2	109	112	2469	22
23	0.022		2470	3	95	98	2568	23
24	0.023		2568	3	88	91	2659	24
25	0.024		2659	3	86	89	2748	25
26	0.025		2748	3	88	92	2840	26
27	0.026		2841	3	81	84	2925	27
28	0.027		2925	3	93	96	3021	28
29	0.028		3021	4	96	100	3121	29
30	0.029		3121	3	82	86	3207	30
31	0.03		3208	3	85	88	3296	31
32	0.031		3296	3	107	110	3406	32
33	0.032		3406	3	109	113	3519	33
34	0.033		3519	3	88	91	3610	34
35	0.034		3610	3	108	111	3721	35
36	0.035		3721	3	90	93	3814	36
37	0.036		3814	3	95	98	3912	37
38	0.037		3912	3	82	85	3997	38
39	0.038		3997	2	89	92	4089	39
40	0.039		4089	3	94	97	4186	40
41	0.04		4186	3	99	102	4288	41
42	0.041		4288	3	89	92	4380	42
43	0.042		4380	3	90	93	4473	43
44	0.043		4473	3	87	90	4563	44
45	0.044		4563	3	88	91	4654	45
46	0.045		4654	3	90	93	4747	46
47	0.046		4747	3	81	84	4831	47
48	0.047		4831	2	88	91	4922	48
49	0.048		4922	2	86	89	5011	49
50	0.049		5011	3	85	88	5099	50
51	0.05		5099	3	86	89	5188	51
52	0.051		5188	3	86	89	5277	52
53	0.052		5277	3	96	99	5376	53
54	0.053		5376	3	83	87	5463	54
55	0.054		5463	3	90	93	5556	55
56	0.055		5556	3	86	91	5647	56
57	0.056		5647	3	91	94	5741	57
58	0.057		5741	3	91	94	5835	58
59	0.058		5835	2	90	93	5928	59
60	0.059		5928	3	84	87	6015	60
61	0.06		6015	2	88	91	6106	61
62	0.061		6106	2	97	100	6206	62
63	0.062		6206	3	84	88	6294	63
64	0.063		6294	3	90	93	6387	64
65	0.064		6387	3	84	87	6474	65
66	0.065		6474	2	108	111	6585	66
67	0.066		6585	3	87	90	6675	67
68	0.067		6675	3	87	90	6765	68
69	0.068		6765	3	91	94	6859	69
70	0.069		6859	3	86	89	6948	70
71	0.07		6948	3	93	96	7044	71
72	0.071		7045	3	83	86	7131	72
73	0.072		7131	3	86	89	7220	73
74	0.073		7220	3	95	98	7318	74
75	0.074		7318	3	91	94	7412	75
76	0.075		7412	3	85	88	7500	76
77	0.076		7500	3	83	86	7586	77
78	0.077		7586	3	107	110	7696	78
79	0.078		7696	2	91	94	7790	79
80	0.079		7790	2	93	96	7886	80
81	0.08		7887	3	89	92	7979	81
82	0.081		7979	2	116	119	8098	82
83	0.082		8098	3	92	95	8193	83
84	0.083		8193	3	86	89	8282	84
85	0.084		8282	2	102	105	8387	85
86	0.085		8387	2	82	85	8472	86
87	0.086		8472	3	91	94	8566	87
88	0.087		8566	2	92	95	8661	88
89	0.088		8661	3	87	90	8751	89
90	0.089		8751	3	108	111	8862	90
91	0.09		8862	3	89	92	8954	91
92	0.091		8954	3	85	88	9042	92
93	0.092		9042	2	87	90	9132	93
94	0.093		9132	2	111	114	9246	94
95	0.094		9246	2	82	85	9331	95
96	0.095		9331	3	84	87	9418	96
97	0.096		9418	3	85	88	9506	97
98	0.097		9506	3	92	98	9604	98
99	0.098		9604	3	92	95	9699	99
100	0.099		9699	2	84	87	9786	100
101	0.1		9786	2	91	94	9880	101
102	0.101		9880	3	84	87	9967	102
103	0.102		9967	2	84	87	10054	103
104	0.103		10054	3	80	83	10137	104
105	0.104		10138	2	84	86	10224	105
106	0.105		10224	20	82	102	10326	106
107	0.106		10326	3	99	102	10428	107
108	0.107		10428	3	93	96	10524	108
109	0.108		10524	3	87	90	10614	109
110	0.109		10614	3	89	92	10706	110
111	0.11		10706	2	87	90	10796	111
112	0.111		10796	3	96	99	10895	112
113	0.112		10895	2	113	116	11011	113
114	0.113		11011	3	83	86	11097	114
115	0.114		11097	3	89	92	11189	115
116	0.115		11190	3	90	93	11283	116
117	0.116		11283	2	87	90	11373	117
118	0.117		11373	3	90	93	11466	118
119	0.118		11466	3	94	97	11563	119
120	0.119		11563	3	91	94	11657	120
121	0.12		11657	2	86	89	11746	121
122	0.121		11746	2	84	87	11833	122
123	0.122		11833	3	87	90	11923	123
124	0.123		11924	3	91	94	12018	124
125	0.124		12018	3	95	98	12116	125
126	0.125		12116	3	85	88	12204	126
127	0.126		12204	2	93	96	12300	127
128	0.127		12301	2	98	100	12401	128
129	0.128		12401	3	99	102	12503	129
130	0.129		12503	2	95	98	12601	130
131	0.13		12601	3	94	97	12698	131
132	0.131		12698	3	105	108	12806	132
133	0.132		12806	3	95	98	12904	133
134	0.133		12905	3	95	98	13003	134
135	0.134		13003	2	90	93	13096	135
136	0.135		13096	3	97	100	13196	136
137	0.136		13196	3	121	124	13320	137
138	0.137		13320	3	101	104	13424	138
139	0.138		13424	3	88	91	13515	139
140	0.139		13515	3	88	91	13606	140
141	0.14		13606	3	96	101	13707	141
142	0.141		13707	3	85	88	13795	142
143	0.142		13795	3	98	101	13896	143
144	0.143		13896	3	86	89	13985	144
145	0.144		13985	3	86	89	14074	145
146	0.145		14074	3	120	123	14197	146
147	0.146		14197	3	89	92	14289	147
148	0.147		14289	3	95	98	14387	148
149	0.148		14387	3	86	89	14476	149
150	0.149		14476	2	95	98	14574	150
151	0.15		14574	3	87	90	14664	151
152	0.151		14664	2	84	87	14751	152
153	0.152		14751	3	85	88	14839	153
154	0.153		14839	3	86	89	14928	154
155	0.154		14928	3	91	94	15022	155
156	0.155		15022	3	81	84	15106	156
157	0.156		15106	3	88	91	15197	157
158	0.157		15197	3	81	84	15281	158
159	0.158		15282	2	89	91	15373	159
160	0.159		15373	3	84	87	15460	160
161	0.16		15461	3	86	89	15550	161
162	0.161		15550	3	90	93	15643	162
163	0.162		15643	3	88	91	15734	163
164	0.163		15734	3	87	90	15824	164
165	0.164		15824	3	92	95	15919	165
166	0.165		15919	3	81	84	16003	166
167	0.166		16003	3	89	92	16095	167
168	0.167		16095	3	84	87	16182	168
169	0.168		16182	3	91	94	16276	169
170	0.169		16276	3	81	84	16360	170
171	0.17		16360	3	83	86	16446	171
172	0.171		16446	2	100	103	16549	172
173	0.172		16549	2	94	97	16646	173
174	0.173		16646	3	86	89	16735	174
175	0.174		16735	3	82	85	16820	175
176	0.175		16820	2	83	86	16906	176
177	0.176		16906	2	93	96	17002	177
178	0.177		17002	3	85	88	17090	178
179	0.178		17090	3	90	93	17183	179
180	0.179		17183	3	82	85	17268	180
181	0.18		17268	2	88	91	17359	181
182	0.181		17360	2	82	84	17444	182
183	0.182		17444	3	85	88	17532	183
184	0.183		17532	2	87	92	17624	184
185	0.184		17624	3	85	88	17712	185
186	0.185		17712	3	88	91	17803	186
187	0.186		17803	3	90	93	17896	187
188	0.187		17896	3	95	98	17994	188
189	0.188		17994	2	95	98	18092	189
190	0.189		18092	2	83	86	18178	190
191	0.19		18178	3	83	86	18264	191
192	0.191		18264	3	82	86	18350	192
193	0.192		18350	3	84	88	18438	193
194	0.193		18438	3	83	87	18525	194
195	0.194		18525	3	92	95	18620	195
196	0.195		18620	3	83	86	18706	196
197	0.196		18706	3	81	84	18790	197
198	0.197		18790	3	78	81	18871	198
199	0.198		18871	2	91	94	18965	199
200	0.199		18966	3	80	83	19049	200
201	0.2		19049	3	79	82	19131	201
202	0.201		19131	2	85	88	19219	202
203	0.202		19220	3	92	95	19315	203
204	0.203		19315	2	95	98	19413	204
205	0.204		19413	3	85	99	19512	205
206	0.205		19513	3	92	95	19608	206
207	0.206		19608	3	79	82	19690	207
208	0.207		19690	3	86	89	19779	208
209	0.208		19779	2	88	91	19870	209
210	0.209		19870	3	84	87	19957	210
211	0.21		19957	3	93	96	20053	211
212	0.211		20053	3	86	89	20142	212
213	0.212		20142	3	83	86	20228	213
214	0.213		20228	2	93	96	20324	214
215	0.214		20324	3	83	86	20410	215
216	0.215		20411	3	87	90	20501	216
217	0.216		20502	2	81	83	20585	217
218	0.217		20585	3	81	84	20669	218
219	0.218		20669	3	84	87	20756	219
220	0.219		20756	3	88	91	20847	220
221	0.22		20847	2	83	86	20933	221
222	0.221		20933	3	87	91	21024	222
223	0.222		21025	3	85	88	21113	223
224	0.223		21113	3	86	89	21202	224
225	0.224		21202	2	86	89	21291	225
226	0.225		21291	3	88	93	21384	226
227	0.226		21384	2	85	88	21472	227
228	0.227		21472	3	87	90	21562	228
229	0.228		21562	3	85	88	21650	229
230	0.229		21650	3	94	98	21748	230
231	0.23		21748	2	96	99	21847	231
232	0.231		21847	3	82	85	21932	232
233	0.232		21932	3	92	95	22027	233
234	0.233		22027	2	87	90	22117	234
235	0.234		22117	2	85	88	22205	235
236	0.235		22206	3	84	87	22293	236
237	0.236		22293	2	109	112	22405	237
238	0.237		22405	3	92	95	22500	238
239	0.238		22501	3	99	102	22603	239
240	0.239		22603	3	87	90	22693	240
241	0.24		22693	2	84	87	22780	241
242	0.241		22780	3	83	86	22866	242
243	0.242		22866	3	83	86	22952	243
244	0.243		22952	2	84	87	23039	244
245	0.244		23039	3	90	93	23132	245
246	0.245		23133	3	82	85	23218	246
247	0.246		23218	3	87	90	23308	247
248	0.247		23308	3	84	87	23395	248
249	0.248		23395	3	83	86	23481	249
250	0.249		23481	3	85	88	23569	250
251	0.25		23569	3	78	81	23650	251
252	0.251		23650	2	97	100	23750	252
253	0.252		23750	3	81	84	23834	253
254	0.253		23834	3	86	89	23923	254
255	0.254		23923	3	81	84	24007	255
256	0.255		24007	3	88	91	24098	256
257	0.256		24098	3	92	95	24193	257
258	0.257		24193	3	78	81	24274	258
259	0.258		24275	2	80	82	24357	259
260	0.259		24357	3	81	84	24441	260
261	0.26		24441	3	88	91	24532	261
262	0.261		24532	3	92	95	24627	262
263	0.262		24627	2	82	85	24712	263
264	0.263		24712	3	81	84	24796	264
265	0.264		24796	3	84	87	24883	265
266	0.265		24884	3	81	84	24968	266
267	0.266		24968	2	90	93	25061	267
268	0.267		25061	2	86	89	25150	268
269	0.268		25150	3	102	107	25257	269
270	0.269		25257	3	82	86	25343	270
271	0.27		25343	2	85	88	25431	271
272	0.271		25431	3	89	92	25523	272
273	0.272		25523	3	80	83	25606	273
274	0.273		25606	3	93	96	25702	274
275	0.274		25703	3	81	84	25787	275
276	0.275		25787	3	87	90	25877	276
277	0.276		25877	3	88	91	25968	277
278	0.277		25968	2	93	96	26064	278
279	0.278		26064	3	82	85	26149	279
