time  qps   sumio   l0   l1    l2    l3    l4    l5  l6  l7  l8  l9 
0   0  1    0  1  0  0  0  0  0  0  0  0  
1   1  12456    6926  1733  1649  2148  0  0  0  0  0  0  
2   2244  11374    5277  2100  2036  1961  0  0  0  0  0  0  
3   2292  9873    4132  1856  1950  1935  0  0  0  0  0  0  
4   2223  8740    3528  1630  1784  1798  0  0  0  0  0  0  
5   2324  7926    3059  1443  1679  1745  0  0  0  0  0  0  
6   2304  7415    2688  1362  1619  1746  0  0  0  0  0  0  
7   2290  7343    2632  1324  1623  1764  0  0  0  0  0  0  
8   2351  6982    2352  1247  1608  1775  0  0  0  0  0  0  
9   2341  6244    2056  1113  1468  1607  0  0  0  0  0  0  
10   2178  5871    1747  1023  1443  1658  0  0  0  0  0  0  
12   2201  5313    1486  937  1305  1585  0  0  0  0  0  0  
13   2112  5562    1592  954  1388  1628  0  0  0  0  0  0  
14   2195  5423    1554  961  1335  1573  0  0  0  0  0  0  
15   2157  5364    1488  946  1335  1595  0  0  0  0  0  0  
16   2207  4972    1251  860  1276  1585  0  0  0  0  0  0  
17   2194  4811    1207  809  1241  1554  0  0  0  0  0  0  
18   2199  4810    1168  821  1257  1564  0  0  0  0  0  0  
19   2211  4599    1088  780  1197  1534  0  0  0  0  0  0  
20   2303  4700    1029  810  1248  1613  0  0  0  0  0  0  
21   2000  4586    1075  768  1184  1559  0  0  0  0  0  0  
23   2122  4600    962  775  1219  1644  0  0  0  0  0  0  
24   2182  4860    1145  815  1249  1651  0  0  0  0  0  0  
25   2071  4606    1026  806  1176  1598  0  0  0  0  0  0  
26   2128  4932    1098  850  1295  1689  0  0  0  0  0  0  
27   2167  4824    1058  838  1251  1677  0  0  0  0  0  0  
28   2185  4859    1026  831  1298  1704  0  0  0  0  0  0  
29   2289  4723    1000  810  1272  1641  0  0  0  0  0  0  
30   2159  5195    1101  919  1373  1802  0  0  0  0  0  0  
31   2395  5120    1160  865  1339  1756  0  0  0  0  0  0  
33   2324  5243    1099  912  1405  1827  0  0  0  0  0  0  
34   2617  4950    1082  843  1326  1699  0  0  0  0  0  0  
35   2481  5412    1225  919  1396  1872  0  0  0  0  0  0  
36   2653  5672    1312  970  1475  1915  0  0  0  0  0  0  
37   2751  5677    1300  955  1483  1939  0  0  0  0  0  0  
38   2780  5666    1251  949  1478  1988  0  0  0  0  0  0  
39   2848  5872    1292  1013  1548  2019  0  0  0  0  0  0  
40   3055  6301    1360  1093  1689  2159  0  0  0  0  0  0  
41   2621  5653    1225  965  1481  1982  0  0  0  0  0  0  
42   2731  6038    1315  1026  1582  2115  0  0  0  0  0  0  
44   2734  5891    1192  973  1609  2117  0  0  0  0  0  0  
45   2848  6516    1500  1088  1697  2231  0  0  0  0  0  0  
46   2993  6678    1473  1150  1769  2286  0  0  0  0  0  0  
47   2912  6625    1473  1157  1735  2260  0  0  0  0  0  0  
48   3002  6717    1481  1098  1810  2328  0  0  0  0  0  0  
49   3095  6983    1590  1195  1826  2372  0  0  0  0  0  0  
50   3184  7178    1591  1261  1875  2451  0  0  0  0  0  0  
51   3263  7403    1640  1269  1950  2544  0  0  0  0  0  0  
52   3299  7587    1696  1280  1994  2617  0  0  0  0  0  0  
53   3704  7574    1694  1260  1971  2649  0  0  0  0  0  0  
55   3730  8018    1780  1367  2112  2759  0  0  0  0  0  0  
56   3959  7947    1760  1327  2110  2750  0  0  0  0  0  0  
57   3989  8225    1821  1410  2154  2840  0  0  0  0  0  0  
58   4104  8296    1855  1398  2133  2910  0  0  0  0  0  0  
59   4254  8601    1947  1436  2254  2964  0  0  0  0  0  0  
60   4024  9173    2091  1574  2388  3120  0  0  0  0  0  0  
61   4089  9139    2042  1579  2404  3114  0  0  0  0  0  0  
62   4151  9151    1992  1577  2440  3142  0  0  0  0  0  0  
63   4087  8988    1906  1560  2362  3160  0  0  0  0  0  0  
64   4146  9634    2227  1640  2498  3269  0  0  0  0  0  0  
66   4282  9825    2218  1728  2570  3309  0  0  0  0  0  0  
67   4312  9539    2008  1640  2552  3339  0  0  0  0  0  0  
68   4426  9948    2185  1710  2613  3440  0  0  0  0  0  0  
69   4511  10005    2238  1729  2568  3470  0  0  0  0  0  0  
70   4596  10059    2167  1728  2649  3515  0  0  0  0  0  0  
71   4569  10266    2246  1753  2706  3561  0  0  0  0  0  0  
72   5074  10487    2304  1782  2769  3632  0  0  0  0  0  0  
73   5285  10739    2309  1871  2833  3726  0  0  0  0  0  0  
74   5454  10895    2355  1878  2878  3784  0  0  0  0  0  0  
75   5058  11228    2510  1914  2936  3868  0  0  0  0  0  0  
77   4985  11106    2526  1936  2886  3758  0  0  0  0  0  0  
78   4985  11202    2420  1941  2952  3889  0  0  0  0  0  0  
79   5116  11212    2509  1901  2949  3853  0  0  0  0  0  0  
80   5240  11624    2521  2026  3020  4057  0  0  0  0  0  0  
81   5256  11354    2488  1919  2981  3966  0  0  0  0  0  0  
82   5250  12272    2793  2091  3196  4192  0  0  0  0  0  0  
83   5419  12465    2886  2158  3207  4214  0  0  0  0  0  0  
84   5466  12116    2535  2089  3230  4262  0  0  0  0  0  0  
85   5557  12332    2795  2126  3245  4166  0  0  0  0  0  0  
86   6093  12419    2689  2182  3252  4296  0  0  0  0  0  0  
88   5538  12242    2687  2124  3204  4227  0  0  0  0  0  0  
89   5625  12267    2612  2108  3200  4347  0  0  0  0  0  0  
90   5614  12966    2985  2207  3367  4407  0  0  0  0  0  0  
91   5737  12668    2788  2166  3351  4363  0  0  0  0  0  0  
92   5651  12639    2777  2152  3293  4417  0  0  0  0  0  0  
93   5792  13060    2873  2251  3422  4514  0  0  0  0  0  0  
94   5872  12901    2895  2216  3360  4430  0  0  0  0  0  0  
95   5820  13280    3012  2229  3473  4566  0  0  0  0  0  0  
96   5951  12827    2805  2172  3374  4476  0  0  0  0  0  0  
98   5769  13057    2966  2248  3355  4488  0  0  0  0  0  0  
99   6446  12714    2758  2162  3362  4432  0  0  0  0  0  0  
100   5936  13291    3033  2276  3431  4551  0  0  0  0  0  0  
101   5955  13411    2997  2336  3504  4574  0  0  0  0  0  0  
102   5908  13098    2904  2251  3418  4525  0  0  0  0  0  0  
103   6053  13486    3051  2308  3505  4622  0  0  0  0  0  0  
104   5995  13260    2962  2261  3484  4553  0  0  0  0  0  0  
105   5995  13034    2873  2173  3402  4586  0  0  0  0  0  0  
106   6004  13184    2735  2268  3535  4646  0  0  0  0  0  0  
107   5997  12731    2644  2202  3391  4494  0  0  0  0  0  0  
109   5939  13248    2958  2288  3449  4553  0  0  0  0  0  0  
110   5827  13294    2926  2289  3459  4620  0  0  0  0  0  0  
